Bootes I          0.04897702 16.0988 16.6410 17.1086 17.5118 18.0507 15.9680 16.2007 16.3920 16.5459 16.6895 1.767e-02 2.402e-02 5.979e-02 2.110e-01 6.838e-01 1.688e-02 1.932e-02 2.742e-02 4.657e-02 1.877e-01 
Bootes I          0.05486275 16.1892 16.7273 17.1830 17.5681 18.0887 16.0624 16.2930 16.4813 16.6338 16.7759 2.211e-02 2.976e-02 7.105e-02 2.360e-01 7.279e-01 2.113e-02 2.410e-02 3.384e-02 5.638e-02 2.184e-01 
Bootes I          0.06145578 16.2794 16.8103 17.2583 17.6298 18.1217 16.1590 16.3842 16.5696 16.7230 16.8636 2.765e-02 3.682e-02 8.437e-02 2.638e-01 7.664e-01 2.645e-02 3.006e-02 4.169e-02 6.788e-02 2.539e-01 
Bootes I          0.06884112 16.3722 16.8935 17.3307 17.6859 18.1544 16.2504 16.4751 16.6574 16.8110 16.9513 3.463e-02 4.565e-02 1.005e-01 2.945e-01 8.058e-01 3.316e-02 3.752e-02 5.139e-02 8.210e-02 2.942e-01 
Bootes I          0.07711397 16.4637 16.9741 17.4048 17.7455 18.1843 16.3409 16.5642 16.7434 16.8980 17.0416 4.329e-02 5.644e-02 1.190e-01 3.279e-01 8.442e-01 4.152e-02 4.678e-02 6.321e-02 9.931e-02 3.367e-01 
Bootes I          0.08638100 16.5540 17.0556 17.4723 17.8057 18.2121 16.4321 16.6507 16.8291 16.9846 17.1312 5.406e-02 6.964e-02 1.406e-01 3.641e-01 8.785e-01 5.193e-02 5.824e-02 7.769e-02 1.195e-01 3.841e-01 
Bootes I          0.09676168 16.6413 17.1297 17.5426 17.8663 18.2509 16.5259 16.7358 16.9131 17.0701 17.2214 6.739e-02 8.577e-02 1.658e-01 4.034e-01 9.118e-01 6.485e-02 7.237e-02 9.515e-02 1.436e-01 4.319e-01 
Bootes I          0.10838984 16.7252 17.2045 17.6097 17.9246 18.2887 16.6136 16.8197 16.9975 17.1560 17.3145 8.402e-02 1.055e-01 1.955e-01 4.476e-01 9.394e-01 8.100e-02 8.995e-02 1.164e-01 1.720e-01 4.884e-01 
Bootes I          0.12141539 16.8064 17.2773 17.6743 17.9861 18.3371 16.7026 16.9001 17.0803 17.2440 17.4056 1.048e-01 1.298e-01 2.297e-01 4.915e-01 9.590e-01 1.012e-01 1.118e-01 1.421e-01 2.061e-01 5.490e-01 
Bootes I          0.13600627 16.8846 17.3494 17.7369 18.0488 18.3772 16.7889 16.9771 17.1626 17.3318 17.4978 1.304e-01 1.593e-01 2.688e-01 5.384e-01 9.721e-01 1.262e-01 1.386e-01 1.732e-01 2.454e-01 6.092e-01 
Bootes I          0.15235057 16.9614 17.4206 17.7967 18.1084 18.4268 16.8648 17.0539 17.2442 17.4183 17.5878 1.620e-01 1.949e-01 3.138e-01 5.891e-01 9.822e-01 1.572e-01 1.714e-01 2.104e-01 2.909e-01 6.656e-01 
Bootes I          0.17065902 17.0427 17.4870 17.8555 18.1704 18.4890 16.9283 17.1298 17.3236 17.5034 17.6775 2.008e-01 2.378e-01 3.643e-01 6.401e-01 9.892e-01 1.953e-01 2.115e-01 2.548e-01 3.440e-01 7.241e-01 
Bootes I          0.19116766 17.1209 17.5479 17.9102 18.2322 18.5466 16.9915 17.2021 17.4037 17.5876 17.7662 2.482e-01 2.891e-01 4.211e-01 6.890e-01 9.934e-01 2.419e-01 2.600e-01 3.071e-01 4.034e-01 7.789e-01 
Bootes I          0.21414089 17.1862 17.6076 17.9629 18.2885 18.6184 17.0481 17.2727 17.4800 17.6719 17.8526 3.061e-01 3.501e-01 4.848e-01 7.409e-01 9.956e-01 2.993e-01 3.191e-01 3.692e-01 4.708e-01 8.242e-01 
Bootes I          0.23987488 17.2533 17.6623 18.0138 18.3479 18.6836 17.0908 17.3392 17.5553 17.7539 17.9362 3.765e-01 4.224e-01 5.550e-01 7.937e-01 9.975e-01 3.693e-01 3.901e-01 4.416e-01 5.458e-01 8.652e-01 
Bootes I          0.26870141 17.3124 17.7125 18.0636 18.4078 18.7526 17.1280 17.4050 17.6286 17.8339 18.0190 4.603e-01 5.058e-01 6.314e-01 8.446e-01 9.988e-01 4.527e-01 4.740e-01 5.247e-01 6.270e-01 9.021e-01 
Bootes I          0.30099211 17.3702 17.7581 18.1093 18.4621 18.8167 17.1604 17.4662 17.6981 17.9097 18.0984 5.583e-01 6.015e-01 7.125e-01 8.903e-01 9.994e-01 5.511e-01 5.715e-01 6.184e-01 7.120e-01 9.331e-01 
Bootes I          0.33716329 17.4177 17.7956 18.1511 18.5163 18.8780 17.1864 17.5246 17.7631 17.9806 18.1736 6.708e-01 7.080e-01 7.966e-01 9.303e-01 9.997e-01 6.645e-01 6.822e-01 7.217e-01 7.989e-01 9.593e-01 
Bootes I          0.37768127 17.4595 17.8286 18.1880 18.5671 18.9367 17.1992 17.5753 17.8223 18.0468 18.2427 7.945e-01 8.207e-01 8.799e-01 9.633e-01 9.999e-01 7.899e-01 8.026e-01 8.304e-01 8.830e-01 9.794e-01 
Bootes I          0.42306843 17.4949 17.8533 18.2188 18.6101 18.9833 17.2088 17.6177 17.8722 18.1012 18.3020 9.177e-01 9.295e-01 9.548e-01 9.876e-01 1.000e+00 9.155e-01 9.214e-01 9.338e-01 9.566e-01 9.933e-01 
Bootes I          0.47390991 17.5103 17.8685 18.2352 18.6329 19.0105 17.2137 17.6401 17.9002 18.1334 18.3355 9.968e-01 9.973e-01 9.983e-01 9.996e-01 1.000e+00 9.967e-01 9.969e-01 9.975e-01 9.984e-01 9.998e-01 
Bootes I          0.53086117 17.5106 17.8689 18.2356 18.6336 19.0111 17.2140 17.6409 17.9014 18.1347 18.3370 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 
Bootes I          0.59465645 17.5106 17.8689 18.2356 18.6336 19.0111 17.2140 17.6409 17.9014 18.1347 18.3370 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 
Bootes I          0.66611821 17.5106 17.8689 18.2356 18.6336 19.0111 17.2140 17.6409 17.9014 18.1347 18.3370 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 
Bootes I          0.74616775 17.5106 17.8689 18.2356 18.6336 19.0111 17.2140 17.6409 17.9014 18.1347 18.3370 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 
Bootes I          0.83583710 17.5106 17.8689 18.2356 18.6336 19.0111 17.2140 17.6409 17.9014 18.1347 18.3370 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 
Bootes I          0.93628230 17.5106 17.8689 18.2356 18.6336 19.0111 17.2140 17.6409 17.9014 18.1347 18.3370 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 
Bootes I          1.04879832 17.5106 17.8689 18.2356 18.6336 19.0111 17.2140 17.6409 17.9014 18.1347 18.3370 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 
Bootes I          1.17483576 17.5106 17.8689 18.2356 18.6336 19.0111 17.2140 17.6409 17.9014 18.1347 18.3370 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 
Bootes I          1.31601950 17.5106 17.8689 18.2356 18.6336 19.0111 17.2140 17.6409 17.9014 18.1347 18.3370 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 
Bootes I          1.47416975 17.5106 17.8689 18.2356 18.6336 19.0111 17.2140 17.6409 17.9014 18.1347 18.3370 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 
Bootes I          1.65132542 17.5106 17.8689 18.2356 18.6336 19.0111 17.2140 17.6409 17.9014 18.1347 18.3370 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 1.000e+00 
